country;total_in_km;km;neighbor
Afghanistan;5.987;91;China
Afghanistan;5.987;921;Iran
Afghanistan;5.987;2670;Pakistan
Afghanistan;5.987;1357;Tajikistan
Afghanistan;5.987;804;Turkmenistan
Afghanistan;5.987;144;Uzbekistan
Akrotiri;48;48;Cyprus
Albania;691;212;Greece
Albania;691;112;Kosovo
Albania;691;181;Macedonia
Albania;691;186;Montenegro
Algeria;6.734;989;Libya
Algeria;6.734;1359;Mali
Algeria;6.734;460;Mauritania
Algeria;6.734;1900;Morocco
Algeria;6.734;951;Niger
Algeria;6.734;1034;Tunisia
Algeria;6.734;41;Western
American Samoa;0;NA;no
Andorra;118;55;France
Andorra;118;63;Spain
Angola;5.369;2646;Democratic
Angola;5.369;231;Republic
Angola;5.369;1427;Namibia
Angola;5.369;1065;Zambia
Anguilla;0;NA;no
Antarctica;0;NA;no
Antigua and Barbuda;0;NA;no
Argentina;11.968;942;Bolivia
Argentina;11.968;1263;Brazil
Argentina;11.968;6691;Chile
Argentina;11.968;2531;Paraguay
Argentina;11.968;541;Uruguay
Armenia;1.57;996;Azerbaijan
Armenia;1.57;219;Georgia
Armenia;1.57;44;Iran
Armenia;1.57;311;Turkey
Aruba;0;NA;no
Ashmore and Cartier Islands;0;NA;no
Australia;0;NA;no
Austria;2.524;402;Czech
Austria;2.524;801;Germany
Austria;2.524;321;Hungary
Austria;2.524;404;Italy
Austria;2.524;34;Liechtenstein
Austria;2.524;105;Slovakia
Austria;2.524;299;Slovenia
Austria;2.524;158;Switzerland
Azerbaijan;2.468;996;Armenia
Azerbaijan;2.468;428;Georgia
Azerbaijan;2.468;689;Iran
Azerbaijan;2.468;338;Russia
Azerbaijan;2.468;17;Turkey
Bahamas;0;NA;no
Bahrain;0;NA;no
Bangladesh;4.413;271;Burma
Bangladesh;4.413;4142;India
Barbados;0;NA;no
Belarus;3.642;161;Latvia
Belarus;3.642;640;Lithuania
Belarus;3.642;418;Poland
Belarus;3.642;1312;Russia
Belarus;3.642;1111;Ukraine
Belgium;1.297;556;France
Belgium;1.297;133;Germany
Belgium;1.297;130;Luxembourg
Belgium;1.297;478;Netherlands
Belize;542;266;Guatemala
Belize;542;276;Mexico
Benin;2.123;386;Burkina
Benin;2.123;277;Niger
Benin;2.123;809;Nigeria
Benin;2.123;651;Togo
Bermuda;0;NA;no
Bhutan;1.136;477;China
Bhutan;1.136;659;India
Bolivia;7.252;942;Argentina
Bolivia;7.252;3403;Brazil
Bolivia;7.252;942;Chile
Bolivia;7.252;753;Paraguay
Bolivia;7.252;1212;Peru
Bosnia and Herzegovina;1.543;956;Croatia
Bosnia and Herzegovina;1.543;242;Montenegro
Bosnia and Herzegovina;1.543;345;Serbia
Botswana;4.347;1544;Namibia
Botswana;4.347;1969;South
Botswana;4.347;0;Zambia
Botswana;4.347;834;Zimbabwe
Bouvet Island;0;NA;no
Brazil;16.145;1263;Argentina
Brazil;16.145;3403;Bolivia
Brazil;16.145;1790;Colombia
Brazil;16.145;649;French
Brazil;16.145;1308;Guyana
Brazil;16.145;1371;Paraguay
Brazil;16.145;2659;Peru
Brazil;16.145;515;Suriname
Brazil;16.145;1050;Uruguay
Brazil;16.145;2137;Venezuela
British Indian Ocean Territory;0;NA;no
British Virgin Islands;0;NA;no
Brunei;266;266;Malaysia
Bulgaria;1.806;472;Greece
Bulgaria;1.806;162;Macedonia
Bulgaria;1.806;605;Romania
Bulgaria;1.806;344;Serbia
Bulgaria;1.806;223;Turkey
Burkina Faso;3.611;386;Benin
Burkina Faso;3.611;545;Cote
Burkina Faso;3.611;602;Ghana
Burkina Faso;3.611;1325;Mali
Burkina Faso;3.611;622;Niger
Burkina Faso;3.611;131;Togo
Burma;6.522;271;Bangladesh
Burma;6.522;2129;China
Burma;6.522;1468;India
Burma;6.522;238;Laos
Burma;6.522;2416;Thailand
Burundi;1.14;236;Democratic
Burundi;1.14;315;Rwanda
Burundi;1.14;589;Tanzania
Cabo Verde;0;NA;no
Cambodia;2.53;555;Laos
Cambodia;2.53;817;Thailand
Cambodia;2.53;1158;Vietnam
Cameroon;5.018;901;Central
Cameroon;5.018;1116;Chad
Cameroon;5.018;494;Republic
Cameroon;5.018;183;Equatorial
Cameroon;5.018;349;Gabon
Cameroon;5.018;1975;Nigeria
Canada;8.893;8893;US
Cayman Islands;0;NA;no
Central African Republic;5.92;901;Cameroon
Central African Republic;5.92;1556;Chad
Central African Republic;5.92;1747;Democratic
Central African Republic;5.92;487;Republic
Central African Republic;5.92;1055;South
Central African Republic;5.92;174;Sudan
Chad;6.406;1116;Cameroon
Chad;6.406;1556;Central
Chad;6.406;1050;Libya
Chad;6.406;1196;Niger
Chad;6.406;85;Nigeria
Chad;6.406;1403;Sudan
Chile;7.801;6691;Argentina
Chile;7.801;942;Bolivia
Chile;7.801;168;Peru
China;22.457;91;Afghanistan
China;22.457;477;Bhutan
China;22.457;2129;Burma
China;22.457;2659;India
China;22.457;1765;Kazakhstan
China;22.457;1352;North
China;22.457;1063;Kyrgyzstan
China;22.457;475;Laos
China;22.457;4630;Mongolia
China;22.457;1389;Nepal
China;22.457;438;Pakistan
China;22.457;4133;Russia
China;22.457;46;Russia
China;22.457;477;Tajikistan
China;22.457;1297;Vietnam
China;22.457;3;Macau
China;22.457;33;Hong
Christmas Island;0;NA;no
Clipperton Island;0;NA;no
Cocos (Keeling) Islands;0;NA;no
Colombia;6.672;1790;Brazil
Colombia;6.672;708;Ecuador
Colombia;6.672;339;Panama
Colombia;6.672;1494;Peru
Colombia;6.672;2341;Venezuela
Comoros;0;NA;no
Cook Islands;0;NA;no
Coral Sea Islands;0;NA;no
Costa Rica;661;313;Nicaragua
Costa Rica;661;348;Panama
Cote d'Ivoire;3.458;545;Burkina
Cote d'Ivoire;3.458;720;Ghana
Cote d'Ivoire;3.458;816;Guinea
Cote d'Ivoire;3.458;778;Liberia
Cote d'Ivoire;3.458;599;Mali
Croatia;2.237;956;Bosnia
Croatia;2.237;348;Hungary
Croatia;2.237;19;Montenegro
Croatia;2.237;314;Serbia
Croatia;2.237;600;Slovenia
Cuba;28.5;28;USA
Curacao;0;NA;no
Cyprus;156;48;Akrotiri
Cyprus;156;108;Dhekelia
Czech Republic;2.143;402;Austria
Czech Republic;2.143;704;Germany
Czech Republic;2.143;796;Poland
Czech Republic;2.143;241;Slovakia
Democratic Republic of the Congo;10.481;2646;Angola
Democratic Republic of the Congo;10.481;236;Burundi
Democratic Republic of the Congo;10.481;1747;Central
Democratic Republic of the Congo;10.481;1229;Republic
